Afghanistan,32000007
�land Islands,32000008
Albania,32000009
Algeria,32000010
American Samoa,32000011
Andorra,32000012
Angola,32000013
Anguilla,32000014
Antigua and Barbuda,32000016
Argentina,32000017
Armenia,32000018
Aruba,32000019
Australia,32000021
Austria,32000022
Azerbaijan,32000023
Bahamas,32000024
Bahrain,32000025
Bangladesh,32000026
Barbados,32000027
Belarus,32000028
Belgium,32000029
Belize,32000030
Benin,32000031
Bermuda,32000032
Bhutan,32000033
Bolivia,32000034
Bosnia and Herzegovina,32000035
Botswana,32000036
Brazil,32000038
British Indian Ocean Territory,32000039
British Virgin Islands,32000040
Brunei,32000041
Bulgaria,32000042
Burkina Faso,32000043
Burundi,32000044
Cambodia,32000045
Cameroon,32000046
Canada,32000047
Cape Verde,32000049
Cayman Islands,32000051
Central African Republic,32000052
Chad,32000054
Chile,32000055
China,32000056
Colombia,32000059
Comoros,32000060
Congo (DRC),32000061
Congo (Republic),32000062
Cook Islands,32000063
Costa Rica,32000064
C�te d�Ivoire,32000065
Croatia,32000066
Cuba,32000067
Cura�ao,32000068
Cyprus,32000069
Czech Republic,32000070
Denmark,32000071
Djibouti,32000073
Dominica,32000074
Dominican Republic,32000075
Ecuador,32000076
Egypt,32000077
El Salvador,32000078
Equatorial Guinea,32000079
Eritrea,32000080
Estonia,32000081
Ethiopia,32000082
Faroe Islands,32000084
Fiji,32000085
Finland,32000086
France,32000087
French Guiana,32000088
French Polynesia,32000089
Gabon,32000091
Gambia,32000092
Georgia,32000093
Germany,32000094
Ghana,32000095
Gibraltar,32000096
Greece,32000097
Greenland,32000098
Grenada,32000099
Guadeloupe,32000100
Guam,32000101
Guatemala,32000102
Guernsey,32000103
Guinea,32000104
Guyana,32000106
Haiti,32000107
Honduras,32000109
Hong Kong,32000110
Hungary,32000111
Iceland,32000112
India,32000113
Indonesia,32000114
Iran,32000115
Iraq,32000116
Ireland,32000117
Isle of Man,32000118
Israel,32000119
Italy,32000120
Jamaica,32000121
Japan,32000122
Jersey,32000123
Jordan,32000124
Kazakhstan,32000125
Kenya,32000126
Kiribati,32000127
Kuwait,32000129
Kyrgyzstan,32000130
Laos,32000131
Latvia,32000132
Lebanon,32000133
Lesotho,32000134
Liberia,32000135
Libya,32000136
Liechtenstein,32000137
Lithuania,32000138
Luxembourg,32000139
Macau,32000140
Macedonia (FYROM),32000141
Madagascar,32000142
Malawi,32000143
Malaysia,32000144
Maldives,32000145
Mali,32000146
Malta,32000147
Marshall Islands,32000148
Martinique,32000149
Mauritania,32000150
Mauritius,32000151
Mayotte,32000152
Mexico,32000153
Micronesia,32000154
Moldova,32000155
Monaco,32000156
Mongolia,32000157
Montenegro,32000158
Morocco,32000160
Mozambique,32000161
Myanmar (Burma),32000162
Namibia,32000163
Nauru,32000164
Nepal,32000165
Netherlands,32000166
New Caledonia,32000167
New Zealand,32000168
Nicaragua,32000169
Niger,32000170
Nigeria,32000171
Northern Mariana Islands,32000175
Norway,32000176
Oman,32000177
Pakistan,32000178
Palau,32000179
Palestine,32000180
Panama,32000181
Papua New Guinea,32000182
Paraguay,32000183
Peru,32000184
Philippines,32000185
Poland,32000187
Portugal,32000188
Puerto Rico,32000189
Qatar,32000190
R�union,32000191
Romania,32000192
Russia,32000193
Rwanda,32000194
Saint Kitts and Nevis,32000197
Saint Lucia,32000198
Saint Martin,32000199
Saint Pierre and Miquelon,32000200
Samoa,32000201
San Marino,32000202
S�o Tom� and Pr�ncipe,32000203
Saudi Arabia,32000204
Senegal,32000205
Serbia,32000206
Seychelles,32000207
Sierra Leone,32000208
Singapore,32000209
Sint Maarten,32000210
Slovakia,32000211
Slovenia,32000212
Solomon Islands,32000213
Somalia,32000214
South Africa,32000215
South Korea,32000216
South Sudan,32000217
Spain,32000218
Sri Lanka,32000219
St. Vincent & Grenadines,32000220
Sudan,32000221
Suriname,32000222
Swaziland,32000224
Sweden,32000225
Switzerland,32000226
Syria,32000227
Taiwan,32000228
Tajikistan,32000229
Tanzania,32000230
Thailand,32000231
Timor-Leste,32000232
Togo,32000233
Tonga,32000235
Trinidad and Tobago,32000236
Tunisia,32000238
Turkey,32000239
Turkmenistan,32000240
Turks and Caicos Islands,32000241
U.S. Virgin Islands,32000244
Uganda,32000245
Ukraine,32000246
United Arab Emirates,32000247
United Kingdom,32000248
United States,32000249
Uruguay,32000250
Uzbekistan,32000251
Vanuatu,32000252
Venezuela,32000254
Vietnam,32000255
Wallis and Futuna,32000256
Yemen,32000258
Zambia,32000259
Zimbabwe,32000260
